index;performance;performance
425;0,66;0,64
133;0,95;0,92
129;0,97;0,92
337;0,91;0,92
447;0,73;0,68
406;0,78;0,77
373;0,93;0,95
452;0,82;0,83
413;0,77;0,82
249;0,97;0,98
287;0,98;0,97
294;0,97;0,96
532;0,62;0,66
569;0,96;0,93
360;0,65;0,61
247;0,97;0,96
262;0,96;0,98
368;0,87;0,91
328;0,94;0,93
260;0,84;0,85
69;0,94;0,91
826;0,91;0,94
514;0,65;0,68
490;0,88;0,88
198;0,6;0,6
356;0,9;0,92
571;0,94;0,93
130;0,97;0,92
530;0,87;0,84
238;0,93;0,93
90;0,59;0,78
545;0,54;0,54
504;0,88;0,8
666;0,97;0,97
650;0,51;0,51
415;0,84;0,84
694;0,84;0,73
325;0,93;0,93
481;0,86;0,82
311;0,93;0,94
303;0,96;0,96
700;0,97;0,94
435;0,81;0,78
621;0,85;0,84
321;0,86;0,89
702;0,97;0,94
846;0,98;0,95
377;0,97;0,97
618;0,97;0,97
25;0,63;0,72
573;0,68;0,68
363;0,94;0,93
577;0,98;0,97
668;0,96;0,97
457;0,82;0,71
136;0,92;0,89
564;0,55;0,53
737;0,94;0,92
809;0,97;0,92
690;0,91;0,87
811;0,93;0,92
671;0,98;0,98
496;0,86;0,85
764;0,72;0,7
467;0,83;0,81
660;0,86;0,89
814;0,95;0,9
854;0,59;0,56
699;0,97;0,94
144;0,71;0,76
124;0,95;0,95
46;0,95;0,96
419;0,79;0,83
841;0,87;0,85
768;0,97;0,7
775;0,9;0,93
274;0,97;0,97
349;0,89;0,92
70;0,94;0,91
458;0,66;0,88
460;0,57;0,6
722;0,76;0,82
128;0,97;0,92
17;0,74;0,72
388;0,9;0,89
389;0,93;0,89
517;0,82;0,85
856;0,6;0,7
461;0,64;0,62
448;0,87;0,84
533;0,85;0,83
857;0,61;0,64
342;0,6;0,56
550;0,61;0,6
206;0,6;0,6
724;0,55;0,56
786;0,97;0,93
168;0,96;0,88
310;0,93;0,94
439;0,63;0,58
87;0,96;0,95
780;0,89;0,91
45;0,96;0,96
121;0,91;0,92
386;0,81;0,84
364;0,95;0,95
59;0,95;0,96
404;0,84;0,77
122;0,93;0,93
293;0,95;0,96
838;0,86;0,85
341;0,94;0,92
265;0,97;0,98
340;0,94;0,92
669;0,97;0,98
277;0,97;0,97
542;0,94;0,94
462;0,65;0,62
738;0,93;0,92
443;0,73;0,76
113;0,75;0,75
536;0,83;0,87
64;0,95;0,96
802;0,78;0,79
264;0,97;0,98
54;0,97;0,96
464;0,58;0,56
675;0,99;0,99
21;0,6;0,72
338;0,93;0,92
491;0,87;0,88
431;0,78;0,82
506;0,88;0,84
261;0,96;0,98
632;0,96;0,95
56;0,59;0,57
237;0,89;0,93
385;0,99;0,99
71;0,87;0,87
647;0,56;0,65
673;0,97;0,98
